address,city,name,postalCode,province,websites
2021 N Highland Ave Ste A3,Jackson,Chick-fil-A,38305,TN,http://www.chick-fil-a.com/oldhickorymallhttp://www.chick-fil-a.com
1380 Tamiami Trail,Port Charlotte,Arby's,33948,FL,http://locations.arbys.com/us/fl/port-charlotte/1380-tamiami-trail.html
275 Greenwich St,New York,Chipotle Mexican Grill,10007,NY,http://www.chipotle.comhttps://www.chipotle.com/
367 W 34th St,New York,SUBWAY®,10001,NY,http://www.subway.comhttp://subway.com/
2995 Vista Blvd,Sparks,Ernie's All American Burger,89434,NV,
17234 Northwest Fwy,Houston,Whataburger,77040,TX,https://locations.whataburger.com/tx/jersey-village/17234-northwest-fwy.html/http://www.whataburger.com
260 N County Line Rd,Jackson,McDonald's,8527,NJ,http://mcdonalds.com
3810 US Highway 9,Howell,Taco Bell,7731,NJ,http://www.tacobell.comhttps://locations.tacobell.com/nj/howell/3810-rt-9-s.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=028952andutm_content=website
4510 US Highway 9,Howell,Wendy's,7731,NJ,http://www.wendys.com
191 Van Zile Rd,Brick,McDonald's,8724,NJ,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
3338 Rr 9,Freehold,Windmill Gourmet Fast Foods,7728,NJ,
551 Susquehanna Blvd,Hazleton,Wendy's,18202,PA,http://www.wendys.com
58 Station Cir,Hazleton,SONIC Drive In,18202,PA,http://sonicdrivein.comhttps://locations.sonicdrivein.com/pa/hazleton/58-station-circle.html
707 W Center St,West Bridgewater,Wendy's,2379,MA,https://locations.wendys.com/west-bridgewater-ma-8991
12717 Shops Pkwy,Austin,SUBWAY,78738,TX,http://subway.comhttp://subway.com/
500 Route 73 S,Marlton,b.good,8053,NJ,http://bgood.com
1729 N Olden Avenue Ext,Trenton,Boston Market,8638,NJ,http://www.bostonmarket.comhttps://bostonmarket.com/location/ewing-township-nj-983/?utm_source=Yextandutm_medium=clickandutm_campaign=listingsandutm_content=983
4201 Harbor Town Lane,Manitowoc,Arby's,54220,WI,http://www.arbys.comhttp://www.drmarbys.com
202 Florida Ave SE,Denham Springs,McDonald's,70726,LA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://www.mcdonalds.com
110 Rushing Rd E,Denham Springs,McDonald's,70726,LA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1345 S Range Ave,Denham Springs,Sonic Drive-In,70726,LA,https://locations.sonicdrivein.com/la/denham-springs/1345-s-range-ave.htmlhttp://sonicdrivein.com
418 Florida Ave SE,Denham Springs,Taco Bell,70726,LA,https://locations.tacobell.com/la/denham-springs/418-florida-blvd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=034620andutm_content=websitehttp://www.tacobell.com
257 South Hamilton St,Painted Post,Arby's,14870,NY,http://www.arbys.comhttp://locations.arbys.com/us/ny/painted-post/257-south-hamilton-st.html
4914 Boydton Plank Rd,Petersburg,McDonald's,23803,VA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
5412 Boydton Plank Rd,Petersburg,Hardee's,23803,VA,http://www.hardees.com
9526 State Route 30,Irwin,Dairy Queen,15642,PA,http://www.dairyqueen.com
316 Butler Rd,Fredericksburg,McDonald's,22405,VA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
9910 Southpoint Pkwy,Fredericksburg,Wendy's,22407,VA,http://www.wendys.com
9865 Jefferson Davis Hwy,Fredericksburg,Arby's,22408,VA,http://www.arbys.comhttps://locations.arbys.com/us/va/fredericksburg/9865-jefferson-davis-hwy.htmlhttp://locations.arbys.com/us/va/fredericksburg/9865-jefferson-davis-hwy.html
500 E Algonquin Rd,Algonquin,McDonald's,60102,IL,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
3551 Plank Rd,Fredericksburg,Taco Bell,22407,VA,http://www.tacobell.comhttps://locations.tacobell.com/va/fredericksburg/3551-plank-road.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=033516andutm_content=website
607 E Main St,Luray,Hardee's,22835,VA,http://www.hardees.com
1020 US Highway 211 W,Luray,McDonald's,22835,VA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
444 Route 37 E,Toms River,Wendy's,8753,NJ,http://www.wendys.comhttp://www.wendys.com/
931 Fischer Blvd,Toms River,Burger King,8753,NJ,http://www.bk.comhttp://www.burgerking.com/
371 Route 37 E,Toms River,McDonald's,8753,NJ,http://mcdonalds.comhttp://www.mcdonaldsnytristate.comhttp://www.mcdonalds.com/
44 Route 37 E,Toms River,Burger King,8753,NJ,http://www.bk.comhttp://www.burgerking.com/
1402 Route 37 E,Toms River,Taco Bell,8753,NJ,http://www.tacobell.comhttp://tacobell.com/
146 Route 37 E,Toms River,Dunkin Donuts,8753,NJ,http://www.dunkindonuts.com
28 Morgan Sq,Berkeley Springs,McDonald's,25411,WV,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
2171 Millennium Blvd,Cortland,McDonald's,44410,OH,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1060 Joppa Farm Rd,Joppa,Wendy's,21085,MD,http://www.wendys.com
14896 Front Beach Rd,Panama City Beach,Moe's Original Bar B Que,32413,FL,http://moesoriginalbbq.com
1725 Market Dr,Stillwater,Culver's,55082,MN,http://www.culvers.com/restaurants/stillwater
4201 Veterans Memorial Pkwy,Saint Peters,White Castle,63376,MO,http://www.whitecastle.com
299 Mid Rivers Mall Dr,Saint Peters,McDonald's,63376,MO,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
6082 Mid Rivers Mall Dr,Saint Charles,Taco Bell,63304,MO,http://www.tacobell.comhttps://locations.tacobell.com/mo/saint-peters/6082-mid-rivers-mall-dr-.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029673andutm_content=website
1630 Jungermann Rd,Saint Charles,Taco Bell,63304,MO,http://www.tacobell.comhttps://locations.tacobell.com/mo/saint-peters/1630-jungermann-rd-.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=029653&utm_content=websitehttps://locations.tacobell.com/mo/saint-peters/1630-jungermann-rd-.html?utm_source=yextpowerlistingsandutm_campaign=yextandutm_medium=organicandutm_term=029653andutm_content=website
4644 S Saint Peters Pkwy,Saint Charles,Subway,63304,MO,http://www.subway.com
2202 Michigan Ave,Arnold,Jimmy John's,63010,MO,http://www.jimmyjohns.com
603 S Main St,O Fallon,Taco Bell,63366,MO,http://www.tacobell.comhttps://locations.tacobell.com/mo/o-fallon/603-s-main-st.html?utm_source=yextpowerlistingsandutm_campaign=yextandutm_medium=organicandutm_term=029652andutm_content=website
102 Fallon Pkwy,O Fallon,Taco Bell,63368,MO,http://www.tacobell.com
910 Bryan Rd,O Fallon,Jack in the Box,63366,MO,http://www.jackinthebox.com
2015 S Old Highway 94,Saint Charles,SONIC Drive In,63303,MO,http://sonicdrivein.com
970 Norland Ave,Chambersburg,Chick-fil-A,17201,PA,http://www.chick-fil-a.com/chambersburghttp://www.chick-fil-a.com
1932 Zumbehl Rd,Saint Charles,Penn Station East Coast Subs,63303,MO,http://penn-station.com
625 Lincoln Way E,Chambersburg,Hardee's,17201,PA,http://www.hardees.com
2230 S Pleasant Valley Rd,Winchester,Chick-fil-A,22601,VA,http://www.chick-fil-a.com/pleasantvalleyroadhttp://www.chick-fil-a.com
71 S Conestoga Dr,Shippensburg,Wendy's,17257,PA,http://www.wendys.com
9695 Veterans Memorial Pkwy,O Fallon,Dairy Queen,63366,MO,http://www.dairyqueen.com
2194 Lincoln Way West,Chambersburg,Burger King,17202,PA,http://www.bk.com
3607 S Dixie Hwy,Franklin,Sonic Drive-In,45005,OH,https://locations.sonicdrivein.com/oh/franklin/3607-dixie-highway.htmlhttp://sonicdrivein.com
2865 Bell Rd,Auburn,McDonald's,95603,CA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
13446 Lincoln Way,Auburn,Burger King,95603,CA,http://www.bk.com
4065 Cameron Park Dr,Shingle Springs,Carl's Jr.,95682,CA,http://www.carlsjr.com
4360 Golden Center Dr,Placerville,McDonald's,95667,CA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
627 Washington St,Quincy,Pizza Hut,2169,MA,http://www.pizzahut.com/locations/massachusetts/quincy/024330http://www.pizzahut.com/
2210 SW Gatlin Blvd,Port Saint Lucie,Wendy's,34953,FL,http://www.wendys.com
2880 SW Port St Lucie Blvd,Port Saint Lucie,Burger King,34953,FL,http://www.bk.com
1687 Dove Park Road,Mandeville,McDonald's,70471,LA,
1011 Highway 51 North,Ponchatoula,Taco Bell,70454,LA,https://locations.tacobell.com/la/ponchatoula/1011-highway-51-north.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=029869&utm_content=website
2045 Florida St,Mandeville,McDonald's,70448,LA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
815 S Tyler St,Covington,SONIC Drive In,70433,LA,https://locations.sonicdrivein.com/la/covington/815-s--tyler.html
9572 Old Highway 99 North Rd,Burlington,SUBWAY,98233,WA,http://www.subway.com
800 South Opdyke,Pontiac,Arby's,48341,MI,http://www.arbys.comhttp://locations.arbys.com/us/mi/pontiac/800-south-opdyke.html
174 Littleton Rd,Westford,SUBWAY,1886,MA,http://subway.com
6780 Waltons Ln,Gloucester,Chick-fil-A,23061,VA,http://www.chick-fil-a.com/gloucester
4521 John Tyler Hwy,Williamsburg,McDonald's,23185,VA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
5239 John Tyler Hwy,Williamsburg,Taco Bell,23185,VA,http://www.tacobell.comhttps://locations.tacobell.com/va/williamsburg/5239-john-tyler-hwy.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=015572andutm_content=website
7099 George Washington Memorial Hwy,Gloucester,McDonald's,23061,VA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
329 Second St,Williamsburg,McDonald's,23185,VA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1905 Pocahontas Trl,Williamsburg,Taco Bell,23185,VA,http://www.tacobell.com
1907 Pocahontas Trl,Williamsburg,Wendy's,23185,VA,http://www.wendys.com
1660 Richmond Rd,Williamsburg,Cook Out,23185,VA,http://www.eatcookout.com
1350 Del Monte Blvd,Seaside,In-N-Out Burger,93955,CA,http://www.in-n-out.com
109 Skyline Dr,Ringwood,McDonald's,7456,NJ,http://mcdonalds.com
4325 W Pierson Road,Flint,Arby's,48504,MI,http://www.arbys.comhttp://locations.arbys.com/us/mi/flint/4325-w-pierson-road.html
1581 Van Horn Rd,Trenton,McDonald's,48183,MI,http://mcdonalds.com
27255 Telegraph Rd,Flat Rock,McDonalds,48134,MI,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
22211 West Rd,Trenton,Jimmy John's,48183,MI,http://www.jimmyjohns.com
27067 Telegraph Rd,Flat Rock,Taco Bell,48134,MI,http://www.tacobell.com
2051 N Highland Ave,Jackson,KFC,38305,TN,http://www.kfc.com
6530 Pearl Rd,Cleveland,Wendy's,44130,OH,http://www.wendys.com
5965 Andrews Rd,Mentor,Mr. Hero,44060,OH,http://mrhero.comhttp://www.mrhero.com
401 Colemans Xing,Marysville,Jimmy John's,43040,OH,http://www.jimmyjohns.com
1641 NW Saint Lucie West Blvd,Port Saint Lucie,Taco Bell,34986,FL,http://www.tacobell.comhttps://locations.tacobell.com/fl/port-saint-lucie/1641-n-w--saint-lucie-west-boulevard.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=G135265andutm_content=website
1750 SW Saint Lucie West Blvd,Port Saint Lucie,McDonald's,34986,FL,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
108 Del Guzzi Dr,Port Angeles,Jimmy John's,98362,WA,http://www.jimmyjohns.comhttps://www.jimmyjohns.com
7141 Durand Ave,Sturtevant,Arby's,53177,WI,http://www.arbys.comhttp://locations.arbys.com/us/wi/sturtevant/7141-durand-ave.html
600 South Street,Raynham,Taco Bell,2767,MA,http://www.tacobell.comhttps://locations.tacobell.com/ma/raynham/600-south-street.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=021084&utm_content=website
2062 W Redlands Blvd,Redlands,Jack in the Box,92373,CA,http://www.jackinthebox.com
602 E Redlands Blvd,Redlands,Del Taco,92373,CA,http://www.deltaco.com
612 E Redlands Blvd,Redlands,McDonald's,92373,CA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
605 E Redlands Blvd,Redlands,Jack in the Box,92373,CA,http://www.jackinthebox.com
1626 W Redlands Blvd,Redlands,Nick's Burgers,92373,CA,http://www.nicksburgers.com
1991 W Redlands Blvd,Redlands,Wendy's,92373,CA,http://www.wendys.com
1990 Ostrems Way,San Bernardino,Taco Bell,92407,CA,http://www.tacobell.comhttps://locations.tacobell.com/ca/san-bernardino/1990-ostrems-way.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=003838andutm_content=websitehttps://locations.tacobell.com/ca/san-bernardino/1990-ostrems-way.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=003838&utm_content=website
272 E 40th St,San Bernardino,Del Taco,92404,CA,http://www.deltaco.com
1381 Kendall Dr,San Bernardino,Baker's Drive Thru,92407,CA,http://www.bakersdrivethru.com
109 Taylor Ave,Manasquan,Domino's Pizza,8736,NJ,http://www.dominos.comhttp://www.dominos.com/
2428 Highway 35,Manasquan,McDonald's,8736,NJ,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referralhttp://mcdonalds.com/
1331N N Church St,Hazleton,Burger King,18202,PA,http://www.bk.comhttps://locations.bk.com/pa/hazle/1331n-n-church-st.html
2627 Highway 70,Manasquan,Jersey Mike's Subs,8736,NJ,http://www.jerseymikes.com/
17638 Chillicothe Rd,Chagrin Falls,McDonald's,44023,OH,http://mcdonalds.com
3300 Highway 278 NE,Covington,Wendy's,30014,GA,http://www.wendys.com
10210 Hull Street Rd,Midlothian,Hardee's,23112,VA,http://www.hardees.com
2601 E Main St,Plainfield,Arby's,46168,IN,http://www.arbys.comhttps://locations.arbys.com/us/in/plainfield/2601-e-main-st.htmlhttp://locations.arbys.com/us/in/plainfield/2601-e-main-st.html
2687 E Main St,Plainfield,Chick-fil-A,46168,IN,http://www.chick-fil-a.com/plainfieldhttp://www.chick-fil-a.com
3545 Pelham Pkwy,Pelham,SONIC Drive In,35124,AL,https://locations.sonicdrivein.com/al/pelham/3545-pelham-parkway.htmlhttp://sonicdrivein.com
1668 Gadsden Hwy,Birmingham,Arby's,35235,AL,https://locations.arbys.com/us/al/birmingham/1668-gadsden-hwy.htmlhttp://www.arbys.comhttp://locations.arbys.com/us/al/birmingham/1668-gadsden-hwy.html
2329 Circle Dr W,Spirit Lake,Taco John's,51360,IA,http://locations.tacojohns.com/ia/spirit-lake/2329-circle-drive-w.html
1704 Military Rd,Benton,Taco Bell,72015,AR,http://www.tacobell.comhttps://locations.tacobell.com/ar/benton/1704-military-rd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=001745andutm_content=websitehttps://locations.tacobell.com/ar/benton/1704-military-rd.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=001745&utm_content=website
14039 Highway 8 Business,El Cajon,Jack in the Box,92021,CA,http://www.jackinthebox.comhttp://jackinthebox.com/
293 West Clinton Street,Gray,Krystal,31032,GA,http://t.co/3VQiWtMxPfhttp://www.krystal.com/locations/georgia/gray-west-clinton-street/
1718 State Rd,Vermilion,Taco Bell,44089,OH,http://www.tacobell.com
1659 Lincoln Way East,Chambersburg,Arby's,17201,PA,http://www.arbys.com
1617 E Main St,Waynesboro,Burger King,17268,PA,https://locations.bk.com/pa/waynesboro/1617-east-main-st.html
1206 Courthouse Rd,Petersburg,McDonald's,23803,VA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
1717 E Vista Chino Bldg E,Palm Springs,Taco Bell,92262,CA,http://www.tacobell.com
7685 W Broadway Ave,Minneapolis,McDonald's,55428,MN,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
38 Northcrest Road,Weaverville,Sonic Drive-In,28787,NC,https://locations.sonicdrivein.com/nc/weaverville/-38-northcrest-road.html
740 S Duchesne Dr,Saint Charles,Mc Donald's,63301,MO,
803 Route 37 West,Toms River,Burger King,8755,NJ,http://www.bk.com
1315 Elliot Dr,Middletown,Arby's,45042,OH,http://www.arbys.com
2300 Grass Valley Hwy,Auburn,Carl's Jr.,95603,CA,http://www.carlsjr.com
2905 Bell Rd,Auburn,Burger King,95603,CA,http://www.bk.comhttps://locations.bk.com/ca/auburn/2905-bell-rd.html
115 Logans Ferry Rd,New Kensington,McDonald's,15068,PA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
4409 State Highway 42,Sheboygan,Hardee's,53083,WI,http://www.hardees.com
3629 State Route 5,Cortland,Mcdonalds,44410,OH,
1 West Valley Avenue,Elysburg,McDonald's,17824,PA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
525 N Harlem Ave,Oak Park,Mickey's Gyros & Ribs,60302,IL,http://www.facebook.com/mickeysgyros
1905 Pocahontas Trl,Williamsburg,KFC,23185,VA,http://www.kfc.com
1800 Daisy Street Ext,Clearfield,Long John Silvers,16830,PA,http://www.longjohnsilvers.comhttp://www.ljsilvers.com
2370 S Market St,Elizabethtown,Burger King,17022,PA,http://www.bk.comhttps://locations.bk.com/pa/elizabethtown/2370-south-market-st.html
2090 Lincoln Hwy E,Lancaster,Five Guys,17602,PA,http://fiveguys.com
844 E Main St,Ephrata,Five Guys,17522,PA,http://fiveguys.com
705 Graystone Rd,Manheim,Sensenig Poultry LLC,17545,PA,
50 Townsedge Dr,Quarryville,Burger King,17566,PA,http://www.bk.com
1641 Lincoln Hwy E,Lancaster,Burger King,17602,PA,http://www.bk.comhttps://locations.bk.com/pa/lancaster/1641-lincoln-highway-east.html
531 N 3rd St,Columbia,Burger King,17512,PA,http://www.bk.comhttps://locations.bk.com/pa/columbia/531-north-3-st.html
1130 E Dayton YellowSprings Rd,Fairborn,Arby's,45324,OH,http://arbys.comhttp://www.arbys.comhttp://locations.arbys.com/us/oh/fairborn/1130-e-dayton-yellow-springs-rd.html
174 Littleton Rd,Westford,Chipotle Mexican Grill,1886,MA,http://www.chipotle.com
700 Dodge Ave Nw,Elk River,McDonald's,55330,MN,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
901 E Bishop St,Bellefonte,Burger King,16823,PA,http://www.bk.comhttps://locations.bk.com/pa/bellefonte/901-east-bishop-st.html
1015 N Front St,Philipsburg,McDonald's,16866,PA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
5300 Carlisle Pike,Mechanicsburg,Burger King,17050,PA,http://www.bk.comhttps://locations.bk.com/pa/mechanicsburg/5300-carlisle-pike.html
4810 Carlisle Pike,Mechanicsburg,Five Guys,17050,PA,http://fiveguys.com
150 Northshore Blvd Ste 5024,Slidell,Chick-Fil-A,70460,LA,http://www.chick-fil-a.comhttp://www.chick-fil-a.com/northshoresquare
313 Lowther St,Lemoyne,KFC,17043,PA,http://www.kfc.com
6101 Carlisle Pike,Mechanicsburg,Wendy's,17050,PA,http://www.wendys.com
1176 Harrisburg Pike,Carlisle,McDonald's,17013,PA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
5550 Carlisle Pike,Mechanicsburg,McDonald's,17050,PA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
4382 W Pierson Rd,Flint,Taco Bell,48504,MI,http://www.tacobell.comhttps://locations.tacobell.com/mi/flint/4382-w-pierson-rd.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=033304andutm_content=websitehttps://locations.tacobell.com/mi/flint/4382-w-pierson-rd.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=033304&utm_content=website
1249 Harrisburg Pike,Carlisle,Waffle House,17013,PA,https://locations.wafflehouse.com/pa-carlisle-1394
711 Cleveland St,Elyria,Rally's,44035,OH,https://locations.rallys.com/oh/elyria/711-cleveland-streethttp://rallys.com
407 S 3rd St,Lemoyne,Burger King,17043,PA,http://www.bk.comhttps://locations.bk.com/pa/lemoyne/407-south-third-st.html
4015 E Market St,York,McDonald's,17402,PA,http://mcdonalds.com
1940 Rotunda Dr,Erie,Five Guys,16509,PA,http://fiveguys.com
191 Columbia Mall Dr,Bloomsburg,Burger King,17815,PA,http://www.bk.comhttps://locations.bk.com/pa/bloomsburg/191-columbia-mall-dr.html
100 Lunger Dr,Bloomsburg,McDonald's,17815,PA,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
817 Park Ave,Meadville,Burger King,16335,PA,https://locations.bk.com/pa/meadville/817-park-ave.htmlhttp://www.bk.com
4201 Tuscarawas St W,Canton,Jimmy John's,44708,OH,http://www.jimmyjohns.com
164 Warrenton Rd,Fredericksburg,Arby's,22405,VA,http://www.arbys.comhttps://locations.arbys.com/us/va/fredericksburg/164-warrenton-rd.html
5107 Jefferson Davis Hwy,Fredericksburg,Hardee's,22408,VA,http://www.hardees.com
44 Stanstead Rd,Fredericksburg,McDonald's,22406,VA,http://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
75 Market Street,Gordonsville,Arby's,22942,VA,http://www.arbys.com
2171 N Frontage Rd W,Vail,McDonald's,81657,CO,http://mcdonalds.com
295 Eby Creek,Eagle,Burger King,81631,CO,http://www.bk.comhttps://locations.bk.com/co/eagle/295-eby-creek.html
1551 Gulf Shores Pkwy,Gulf Shores,Arby's,36542,AL,http://www.arbys.comhttp://locations.arbys.com/us/al/gulf-shores/1551-gulf-shores-pkwy.html
1165 S McKenzie St,Foley,Taco Bell,36535,AL,http://www.tacobell.comhttps://locations.tacobell.com/al/foley/1165-south-mckenzie-street.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=023767andutm_content=website
2650 S Queen St,York,KFC,17402,PA,http://www.kfc.com
1170 Carlisle St,Hanover,KFC,17331,PA,http://www.kfc.com
2407 Highway 35,Manasquan,Wendy's,8736,NJ,https://locations.wendys.com/manasquan-njhttp://www.wendys.comhttp://www.wendys.com/
75 Robinhood Dr,Etters,Burger King,17319,PA,http://www.bk.com
1160 Carlisle St,Hanover,Burger King,17331,PA,http://www.bk.com
2050 Route 70 W,Cherry Hill,Pei Wei,8002,NJ,http://www.peiwei.com
718 Boulevard St,Dover,Taco Bell,44622,OH,http://www.tacobell.comhttps://locations.tacobell.com/oh/dover/718-boulevard-st-.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=001856andutm_content=websitehttps://locations.tacobell.com/oh/dover/718-boulevard-st-.html?utm_source=yext&utm_campaign=yextpowerlistings&utm_medium=referral&utm_term=001856&utm_content=website
1520 E Front St,Port Angeles,Frugals,98362,WA,http://www.frugalburger.com
1162 Boone Avenue Exit E,Kingsland,Burger King,31548,GA,
27410 Jefferson Ave,Temecula,Jack in the Box,92590,CA,http://www.jackinthebox.com
1201 Coulee Rd,Hudson,KFC,54016,WI,http://www.kfc.com
105 River Square Plz,Bessemer,Arby's,35023,AL,http://www.arbys.comhttps://locations.arbys.com/us/al/hueytown/105-river-square-plz.htmlhttp://locations.arbys.com/us/al/hueytown/105-river-square-plz.html
3069 Allison Bonnett Memorial Dr,Bessemer,McDonalds,35023,AL,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
3040 Allison Bonnett Memorial Dr,Bessemer,SONIC Drive In,35023,AL,https://locations.sonicdrivein.com/al/hueytown/3040-allison-bonnett-mem-dr.html
3067 Allison Bonnett Memorial Dr,Bessemer,Captain D's,35023,AL,https://locations.captainds.com/al/hueytown/3067-allison-bonnett-memorial-dr.html
3380 Winfield Dunn Pkwy,Kodak,Krystal,37764,TN,http://www.krystal.com/locations/tennessee/kodak-windfield-dunn-parkway
975 Peeler Road,Salisbury,Bojangles' Famous Chicken 'n Biscuits,28147,NC,http://locations.bojangles.com/nc/salisbury/975-peeler-road.html
901 Boardwalk,Seaside Heights,Seaside Eatery,8751,NJ,http://seasideeaterynj.comhttp://www.seasideeaterynj.com
1209 High St N,Millville,SUBWAY,8332,NJ,http://subway.comhttp://www.subway.com
1258 Hooper Ave,Toms River,Chipotle Mexican Grill,8753,NJ,http://www.chipotle.com
8530 Edinburgh Center Dr,Minneapolis,Taco Bell,55443,MN,http://www.tacobell.comhttps://locations.tacobell.com/mn/brooklyn-park/8530-edinburgh-centre-dr.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=019622andutm_content=website
611 Washington Blvd,Williamsport,Burger King,17701,PA,http://www.bk.comhttps://locations.bk.com/pa/williamsport/611-washington-blvd.html
3198 US Highway 50 E,Carson City,Dairy Queen,89701,NV,http://www.dairyqueen.com
50 Maynard St,Williamsport,Burger King,17701,PA,http://www.bk.comhttps://locations.bk.com/pa/williamsport/50-maynard-st.html
9951 W Florissant Ave,Saint Louis,Taco Bell,63136,MO,http://www.tacobell.comhttps://locations.tacobell.com/mo/saint-louis/9951-w-florissant-ave.html?utm_source=yextandutm_campaign=yextpowerlistingsandutm_medium=referralandutm_term=029649andutm_content=website
10873 W Florissant Ave,Saint Louis,McDonald's,63136,MO,http://mcdonalds.comhttp://www.mcdonalds.com/?cid=RF:YXT_FM:TP::Yext:Referral
3945 Missouri Flat Rd,Placerville,Jack in the Box,95667,CA,http://www.jackinthebox.com
8020 Spotsylvania Mall,Fredericksburg,Chick-fil-A,22407,VA,http://www.chick-fil-a.com/spotsylvaniatownecentrehttp://www.chick-fil-a.com
1717 E Vista Chino,Palm Springs,McDonald's,92262,CA,http://mcdonalds.com
191 Gateway Drive,Winchester,Bojangles' Famous Chicken 'n Biscuits,22603,VA,https://locations.bojangles.com/va/winchester/191-gateway-drive.html
Hwy 5 Appalachian Parkway,East Ellijay,Burger King,30539,GA,http://www.bk.comhttps://locations.bk.com/ga/east-ellijay/hwy-5-appalachian-parkway.html
286 Turnpike Rd,Westborough,Chick-fil-A,1581,MA,http://www.chick-fil-a.com/westborough
240 Cumberland Parkway,Mechanicsburg,Arby's,17055,PA,http://www.arbys.comhttp://locations.arbys.com/us/pa/upper-allen-township/240-cumberland-parkway.html
422 E Chicago St,Coldwater,Jimmy John's,49036,MI,http://www.jimmyjohns.com
432 Beechurst Ave,Morgantown,Subway,26505,WV,http://www.subway.com
49 N Telegraph Rd,Waterford,Arby's,48328,MI,
